track_name,track_artist,mood,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,track_popularity
Die With A Smile,"Lady Gaga, Bruno Mars",romantic,100,0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0.0,0,6,251668,0.308,100
BIRDS OF A FEATHER,Billie Eilish,other,97,0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,1,2,210373,0.2,97
That’s So True,Gracie Abrams,angry,93,0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0.0,1,1,166300,0.214,93
Taste,Sabrina Carpenter,happy,81,0.91,112.966,0.67,-4.07,0.304,0.786,0.0634,0.0,0,0,157280,0.0939,81
APT.,"ROSÉ, Bruno Mars",happy,98,0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0.0,0,0,169917,0.0283,98
"Good Luck, Babe!",Chappell Roan,happy,94,0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0.0,0,11,218424,0.0502,94
Diet Pepsi,Addison Rae,happy,88,0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,0.00962,1,10,169698,0.495,88
WILDFLOWER,Billie Eilish,sad,93,0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,0.000271,0,6,261467,0.612,93
Sailor Song,Gigi Perez,sad,71,0.416,94.926,0.492,-10.439,0.203,0.297,0.0254,8.61e-05,1,11,211979,0.686,71
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",other,92,0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,2.56e-06,0,11,256000,0.0584,92
Guess featuring billie eilish,"Charli xcx, Billie Eilish",other,85,0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.3,1,7,145219,0.0146,85
Please Please Please,Sabrina Carpenter,romantic,88,0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0.0,1,9,186365,0.274,88
2 hands,Tate McRae,other,79,0.806,104.032,0.608,-3.443,0.191,0.587,0.0486,0.0,1,1,181821,0.121,79
A Bar Song (Tipsy),Shaboozey,other,86,0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0.0,1,9,171292,0.0633,86
HOT TO GO!,Chappell Roan,happy,88,0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0.0,1,6,184841,0.0187,88
Disease,Lady Gaga,other,86,0.917,100.987,0.562,-2.768,0.488,0.501,0.117,0.0,0,11,229997,0.0513,86
Moonlit Floor (Kiss Me),LISA,happy,82,0.787,109.939,0.734,-3.951,0.312,0.672,0.116,0.0,0,5,155757,0.126,82
Love Somebody,Morgan Wallen,happy,86,0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,0.000118,0,5,204829,0.00948,86
"I Love You, I'm Sorry",Gracie Abrams,sad,90,0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0.0,1,10,157147,0.656,90
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",happy,86,0.782,119.992,0.727,-8.529,0.225,0.655,0.042,0.336,0,8,177599,0.0563,86
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",happy,88,0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0.0,1,1,255916,0.285,88
Espresso,Sabrina Carpenter,happy,90,0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,6.54e-05,1,0,175459,0.107,90
Mantra,JENNIE,happy,89,0.725,116.988,0.894,-4.984,0.0815,0.838,0.0432,1.15e-05,0,10,136627,0.00434,89
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",other,82,0.563,105.008,0.833,-5.593,0.139,0.343,0.204,1.27e-05,0,4,182857,0.528,82
NEW DROP,Don Toliver,other,85,0.628,119.98,0.757,-6.715,0.221,0.321,0.101,0.0209,0,4,217333,0.189,85
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",happy,84,0.855,127.986,0.638,-4.86,0.245,0.731,0.0264,0.0,1,7,178206,0.00757,84
Too Sweet,Hozier,happy,77,0.62,117.038,0.741,-5.505,0.0398,0.934,0.0412,0.000809,1,10,251424,0.0295,77
No One Noticed,The Marías,chill,84,0.339,97.989,0.705,-10.612,0.12,0.457,0.0278,0.0814,1,7,236907,0.552,84
Tu Boda,"Oscar Maydon, Fuerza Regida",other,93,0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,1.36e-05,1,6,225881,0.496,93
Stargazing,Myles Smith,other,88,0.601,123.994,0.635,-6.129,0.11,0.332,0.0295,0.0,0,1,172533,0.246,88
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",happy,70,0.691,167.029,0.836,-4.222,0.282,0.703,0.363,0.0,1,1,149461,0.00586,70
we can't be friends (wait for your love),Ariana Grande,other,81,0.646,115.842,0.645,-8.334,0.074,0.295,0.0427,3.04e-05,1,5,228639,0.0615,81
